Comm_Area_No,Majority_Cluster,Per_Capita_Income
1,2,25874
2,1,24721
3,2,37869
4,2,44432
5,0,64494
6,0,67066
7,0,73965
8,0,91948
9,2,51423
10,2,40219
11,2,35183
12,2,47342
13,2,28173
14,2,25848
15,2,28866
16,2,31043
17,2,29080
18,2,26831
19,1,17965
20,1,17896
21,2,26860
22,2,41065
23,1,15849
24,0,54429
25,1,17586
26,1,12483
27,1,14638
28,2,50394
29,1,13236
30,1,11345
31,1,21131
32,0,77722
33,0,82859
34,1,19067
35,1,24056
36,1,20884
37,1,17515
38,1,24616
39,2,42491
40,1,14203
41,2,41719
42,1,19117
43,1,20067
44,1,21416
45,1,22578
46,1,16996
47,1,17678
48,2,27488
49,1,19755
50,1,23659
51,1,16207
52,1,17931
53,1,18007
54,1,9601
55,2,27546
56,2,28925
57,1,18497
58,1,15552
59,1,19923
60,2,25373
61,1,14267
62,1,19283
63,1,13605
64,2,25722
65,1,18633
66,1,14618
67,1,14836
68,1,12777
69,1,16719
70,2,23990
71,1,18473
72,2,44979
73,1,22275
74,2,36365
75,2,29636
76,2,28606
77,2,38748
